canonical_name,lat,lng,elevation_ft
El Monte city,34.07463,-118.02914,295.0
Elk Grove city,38.41462,-121.38496,43.3
Glendora city,34.14496,-117.8478,930.5
Hawaiian Gardens city,33.83048,-118.07345,34.5
Hermosa Beach city,33.86982,-118.4053,18.7
Highland city,34.11347,-117.16573,1404.5
Isla Vista CDP,34.41218,-119.86066,45.7
La Mirada city,33.90205,-118.00896,136.0
Lemoore city,36.29436,-119.79825,205.1
Loomis town,38.80937,-121.19547,358.3
Los Alamitos city,33.79691,-118.06124,25.1
Marina city,36.68026,-121.78937,88.9
Martinez city,37.99812,-122.11442,154.5
Modesto city,37.63753,-121.00305,87.5
Monterey city,36.60119,-121.88311,5.8
Mountain View CDP,38.00921,-122.11685,80.3
Orangevale CDP,38.68936,-121.22308,242.4
Orinda city,37.88161,-122.16859,759.6
Palmdale city,34.59104,-118.1054,2611.8
Placentia city,33.88116,-117.85478,283.0
Pleasant Hill city,37.95416,-122.07577,59.7
Pleasanton city,37.66719,-121.88123,343.2
Poway city,32.98768,-117.02181,728.7
Rancho Santa Fe CDP,33.02581,-117.19815,224.6
Redlands city,34.05351,-117.17048,1437.8
Redwood City city,37.51527,-122.21367,7.8
San Juan Capistrano city,33.50089,-117.65439,104.3
San Mateo city,37.56031,-122.3106,9.7
Santa Ana city,33.73633,-117.8829,76.9
Santa Maria city,34.93308,-120.44356,206.7
Santa Rosa city,38.44582,-122.70618,179.7
South Lake Tahoe city,38.92822,-119.981,6260.0
Spring Valley CDP,39.07605,-122.58451,1329.0
Sunnyside-Tahoe City CDP,39.14832,-120.17094,7000.1
Upland city,34.11607,-117.65992,1442.6
Vacaville city,38.35862,-121.9686,168.1
Victorville city,34.52773,-117.35358,2954.5
Villa Park city,33.81799,-117.81129,357.9
Visalia city,36.32803,-119.32852,315.9
Yorba Linda city,33.88904,-117.77207,538.5
Basalt town,39.36859,-107.04876,6561.8
Broomfield city,39.95359,-105.05079,5334.1
Castle Pines city,39.46249,-104.87058,6331.8
Erie town,40.04029,-105.03831,5073.5
Granby town,40.0648,-105.91939,7992.9
Greenwood Village city,39.61593,-104.91169,5639.2
Louisville city,39.96958,-105.14327,5390.0
Monument town,39.07441,-104.84422,7001.8
Westminster city,39.88012,-105.06151,5342.4
Brookfield Center CDP,41.46236,-73.38753,504.9
Glastonbury Center CDP,41.70067,-72.59942,30.7
Milford city (balance),41.22364,-73.06456,79.1
Norwalk city,41.09274,-73.4198,15.8
Redding Center CDP,41.30666,-73.38302,666.9
Stratford Downtown CDP,41.19885,-73.12767,21.5
Westport Village CDP,41.14335,-73.36025,7.6
Apopka city,28.7017,-81.53182,93.3
Cooper City city,26.04806,-80.28496,3.9
Daytona Beach city,29.19071,-81.09708,15.1
DeLand city,29.02266,-81.2865,74.6
