city,state,lat,lng,canonical_name,strategy,n_athletes
Highlands Ranch,CO,39.54083,-104.97108,Highlands Ranch CDP,direct,4
Parker,CO,39.50595,-104.77583,Parker town,direct,4
Madison,CT,41.28022,-72.60227,Madison Center CDP,state-starts,4
Boynton Beach,FL,26.52833,-80.08072,Boynton Beach city,direct,4
Coral Springs,FL,26.27072,-80.2593,Coral Springs city,direct,4
Naples,FL,26.15048,-81.7953,Naples city,direct,4
Alpharetta,GA,34.07087,-84.27265,Alpharetta city,direct,4
Deerfield,IL,42.16607,-87.85247,Deerfield village,direct,4
Libertyville,IL,42.28467,-87.9665,Libertyville village,direct,4
Northbrook,IL,42.12875,-87.83516,Northbrook village,direct,4
Greenwood,IN,39.60299,-86.1085,Greenwood city,direct,4
Noblesville,IN,40.0353,-86.00016,Noblesville city,direct,4
Kansas City,KS,39.12254,-94.74178,Kansas City city,direct,4
Concord,MA,42.45186,-71.40318,West Concord CDP,state-contains,4
Mapleton,MN,43.92714,-93.95528,Mapleton city,direct,4
Stillwater,MN,45.05861,-92.83041,Stillwater city,direct,4
Woodbury,MN,44.90628,-92.9237,Woodbury city,direct,4
Gulfport,MS,30.41949,-89.06902,Gulfport city,direct,4
Missoula,MT,46.87436,-114.02614,Missoula city,direct,4
Chapel Hill,NC,35.92833,-79.04138,Chapel Hill town,direct,4
Henderson,NV,36.00896,-115.0268,Henderson city,direct,4
Dix Hills,NY,40.80332,-73.33746,Dix Hills CDP,direct,4
Dayton,OH,39.78474,-84.19963,Dayton city,direct,4
Edmond,OK,35.67381,-97.41308,Edmond city,direct,4
Tulsa,OK,36.12795,-95.90232,Tulsa city,direct,4
Erie,PA,42.11659,-80.0735,Erie city,direct,4
Murrysville,PA,40.44286,-79.65831,Murrysville municipality,state-starts,4
Charleston,SC,32.82802,-79.9729,Charleston city,direct,4
Columbia,SC,34.04052,-80.9061,Columbia city,direct,4
Greenville,SC,34.8369,-82.363,Greenville city,direct,4
Knoxville,TN,35.97068,-83.94927,Knoxville city,direct,4
Laredo,TX,27.56038,-99.48918,Laredo city,direct,4
Mesquite,TX,32.75955,-96.58416,Mesquite city,direct,4
Sugar Land,TX,29.59276,-95.6338,Sugar Land city,direct,4
Orem,UT,40.29807,-111.69944,Orem city,direct,4
Annandale,VA,38.8328,-77.19623,Annandale CDP,direct,4
Ashburn,VA,39.0273,-77.47132,Ashburn CDP,direct,4
Burke,VA,38.77772,-77.26259,Burke CDP,direct,4
Haymarket,VA,38.81217,-77.63633,Haymarket town,direct,4
Federal Way,WA,47.3116,-122.33776,Federal Way city,direct,4
Gig Harbor,WA,47.33838,-122.60075,Gig Harbor city,direct,4
Lynnwood,WA,47.82898,-122.30067,Lynnwood city,direct,4
Redmond,WA,47.67792,-122.11534,Redmond city,direct,4
Renton,WA,47.47919,-122.19461,Renton city,direct,4
Richland,WA,46.28409,-119.29405,Richland city,direct,4
Brookfield,WI,43.06432,-88.11779,Brookfield city,direct,4
McFarland,WI,43.01922,-89.28342,McFarland village,direct,4
Poynette,WI,43.39216,-89.40479,Poynette village,direct,4
Prairie du Chien,WI,43.04334,-91.13733,Prairie du Chien city,direct,4
Juneau,AK,58.37291,-134.17845,Juneau city and borough,state-starts,3
Mobile,AL,30.66843,-88.10023,Mobile city,direct,3
Flagstaff,AZ,35.18521,-111.6207,Flagstaff city,direct,3
Agoura Hills,CA,34.14894,-118.76393,Agoura Hills city,direct,3
